screen_name,created_at,text,retweet_count,favorite_count,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
CDCgov,2020-05-20T18:12:02Z,"CDC is investigating nearly 100 Salmonella infections across 28 states from contact with chickens, ducks, and other poultry in backyard flocks. About 30% of sick people are under age 5. Learn how to stay healthy while caring for your flock: https://t.co/tnVxpfEFlK. https://t.co/xDKNkWtR2A",74,86,,,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,Sprout Social,en,1263170636479946754
CDCgov,2020-05-20T16:08:10Z,"Getting take-out while slowing the spread of #COVID19? Order &amp; pay online or by phone, accept take-out without in-person contact if possible, stay 6 feet away from others, &amp; wash your hands with soap &amp; water after bringing home your food: https://t.co/qOJIH3XUI5. https://t.co/cgHL9FYATq",73,123,,,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,Sprout Social,en,1263139464068677632
CDCgov,2020-05-19T23:53:01Z,"RT @HHSGov: It’s #EMSWeek and #COVID19 has made emergency medical work more demanding than ever. Thank you, #EMS heroes, for staying strong and fighting to preserve life. Tag an EMS friend to thank them for their courage. https://t.co/kv9ZVp5Hbs",146,0,,HHSGov,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,Sprout Social,en,1262894058030215170
CDCgov,2020-05-19T23:31:00Z,"RT @CDCtravel: If you need to travel within the US, make sure you follow the guidance of local officials in the location you are departing from and the location you are traveling to. For more information about traveling within the US visit: https://t.co/5W44A5Wmi9. https://t.co/6dLB4iTQgy",156,0,,CDCtravel,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,Sprout Social,en,1262888519174959108
CDCgov,2020-05-19T23:11:01Z,"RT @HHSGov: #News: HHS is delivering new funding to states, territories, and tribes to support testing for #COVID19. Read the full news release here: https://t.co/SWEyjXq499 @IHSgov @CDCgov https://t.co/zOhJStxWAa",50,0,,HHSGov,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,Sprout Social,en,1262883489776578561
CDCgov,2020-05-19T22:15:05Z,RT @CDCGlobal: #Tuberculosis is a respiratory illness that affects 1/4 of the world’s population – an estimated 2B people. TB Preventive Treatment (TPT) reduces the of developing disease and is a key component of the #TB response. Check out the @CDCgov  TPT toolkit: https://t.co/HnxEE5NszV https://t.co/MyZwoGZGqU,40,0,,CDCGlobal,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,Sprout Social,en,1262869412392177664
CDCgov,2020-05-19T21:10:02Z,"RT @HHSGov: Parents, family members, school staff, and other trusted adults can help children make sense of what they hear in a way that is honest, accurate, and minimizes anxiety or fear. Read CDC's guidance on talking with children about #COVID19 here: https://t.co/zrh9waxeGR https://t.co/AEwR4tMXyt",112,0,,HHSGov,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,Sprout Social,en,1262853040035545088
CDCgov,2020-05-19T20:22:02Z,Thank you to all dialysis staff protecting vulnerable patients from #COVID19. CDC’s new training webinars can help to prevent the spread in your facility. https://t.co/h4lFRh0Xpo https://t.co/HHswY1WW6a,88,193,,,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,Sprout Social,en,1262840963686445061
CDCgov,2020-05-19T20:04:01Z,RT @CDCInjury: New #CDC study analyzed from patients with private insurance or Medicaid benefits. The findings suggest that patients were prescribed opioids for many pain conditions despite recommendations. Read More: https://t.co/TAETqRcVJU https://t.co/1sg3smDBSo,35,0,,CDCInjury,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,Sprout Social,en,1262836426221199362
CDCgov,2020-05-19T19:19:01Z,RT @HHSGov: Wearing a cloth face covering in public slows the spread of #COVID19 and shows you care about the health of your community. #MaskUp with these styles from @CDCgov. https://t.co/TgUe2XR4sC,372,0,,HHSGov,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,Sprout Social,en,1262825102728728576
CDCgov,2020-05-19T19:00:27Z,Does wearing a face covering mean you don’t have to practice social distancing? The answer is no. Wearing a cloth face covering while in public AND maintaining 6 ft of distance from other people are two actions to help stop the spread of #COVID19. https://t.co/bihJ3xEM15 https://t.co/pnqCT0vOg6,996,1439,,,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,Sprout Social,en,1262820432010502146
CDCgov,2020-05-19T17:35:02Z,"The   latest CDC #COVIDView report shows that the hospitalization rates for adults are similar or higher than those seen at comparable points during recent flu seasons, while those for children are much lower. Learn more: https://t.co/zP4VYlo0Pb. https://t.co/Q9EcI1H7aB",239,338,,,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,Sprout Social,en,1262798936105979905
CDCgov,2020-05-19T17:04:36Z,"After 2 people with #COVID19 attended church gatherings in Arkansas in early March, 35 attendees acquired the disease. Follow CDC guidelines &amp; consult with local public health officials when resuming in-person operations. Learn more from @CDCMMWR: https://t.co/UebsNldIRR. https://t.co/ib4fRxUXJD",843,1077,,,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,Sprout Social,en,1262791275436277768
