screen_name,created_at,text,retweet_count,favorite_count,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
seattletimes,2020-05-20T18:29:19Z,"NEW: Some small-group indoor fitness activities like weight training, yoga and martial arts can resume under the second phase of Gov. Jay Inslee’s four-part coronavirus reopening plan. (via @OlympiaJoe)
https://t.co/4ZX65renRK",1,2,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1263174983754358790
seattletimes,2020-05-20T18:11:18Z,"Seattle is considering opening more streets to people walking, biking and recreating in the coming months. Which street, if any, would you want to see opened next? https://t.co/1QjG23Dgmu",8,10,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1263170451104239626
seattletimes,2020-05-20T17:44:26Z,"As the country begins to emerge from stay-home orders, this is a chance to reevaluate the way our world works. Here are the big, thought-provoking questions local and national experts are wrestling with as we start the recovery process. https://t.co/XUeoizxXOr https://t.co/XK8SDJfBNH",2,4,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1263163690003685382
seattletimes,2020-05-20T17:26:57Z,"• Accidental poisonings from cleaning agents keep rising
• Trump allies recruiting “extremely pro-Trump” doctors to prescribe rapid reopening
• Italy’s great beautification: hair salons are back

Follow our live coronavirus updates: https://t.co/Gj4EZvXJgj",5,14,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1263159287137828868
seattletimes,2020-05-20T17:09:27Z,"As many Seattleites are told to keep logging on from the safety of home, workers in Yakima are being shouted at to get back to the front lines. It's a study in how the pandemic is widening class divides, columnist Danny Westneat writes. https://t.co/geL4uxRQrN",18,36,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1263154882921607168
seattletimes,2020-05-20T16:36:08Z,Things are so uncertain about what schools will look like in the next year or so. So is this the time to consider enrolling your kids in virtual schools? Explore the pros and cons with @HannahFurfaro and @educationlab on Thursday at 1 pm. https://t.co/IUoofwwBWN,2,4,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1263146498738524161
seattletimes,2020-05-20T15:58:55Z,"As the country begins to emerge from stay-home orders, this is a chance to reevaluate the way our world works. Here are the big, thought-provoking questions local and national experts are wrestling with as we start the recovery process. https://t.co/mkA6UyWudr",4,5,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1263137132769677313
seattletimes,2020-05-20T15:48:46Z,"Seattle landlords must offer payment plans to tenants who don't pay rent during the coronavirus emergency and for six months afterward, under a bill signed by the mayor yesterday. Here's how it will work.
https://t.co/E6bj5mF3LT",17,51,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1263134579352895496
seattletimes,2020-05-20T14:50:21Z,"More Washington counties could be allowed to accelerate their reopening under new guidelines from Gov. Jay Inslee, greatly expanding the number of businesses that can operate. Here's a county-by-county look at what's allowed.
https://t.co/TWZ6Jo27Ay",3,9,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1263119879512698882
seattletimes,2020-05-20T14:34:30Z,"Across the country, Asian American health-care workers have reported a rise in bigoted incidents. The racial hostility has left Asian Americans in a painful position on the front lines of the response to the coronavirus pandemic. https://t.co/eRn7ayk4SI",15,30,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1263115891199393792
