word,count
"
",3597
to,1304
",",1045
coronavirus,903
#,820
the,785
.,783
in,762
:,693
of,681
for,631
on,491
-,433
',412
and,390
COVID-19,366
a,358
New,341
at,285
pandemic,258
with,246
's,218
!,212
is,211
York,210
from,205
as,195
 ,167
NYC,163
Trump,159
says,158
are,149
Cuomo,148
will,147
?,145
The,142
;,140
virus,139
"""",139
amid,139
LIVE,137
https://t.co/PuO1QxV19J,136
be,135
you,133
NJ,125
cases,124
after,123
RT,119
NY,111
Gov.,108
US,108
more,107
workers,106
home,105
by,104
during,104
deaths,97
this,95
’,95
$,94
5,92
all,92
‘,91
City,91
Coronavirus,90
have,90
Jersey,86
update,86
FOX,85
your,85
gives,84
positive,83
new,82
https://t.co/pbrzowavkB,79
BREAKING,78
’s,78
up,76
out,75
has,75
WATCH,74
that,74
who,71
2020,70
due,70
Blasio,68
people,68
can,67
outbreak,66
help,66
Murphy,65
not,65
over,63
it,62
his,61
Mayor,59
could,59
n't,57
about,57
We,56
Breaking,56
test,55
NYPD,55
we,53
1,53
response,52
A,52
President,52
do,52
but,52
testing,52
back,51
close,51
an,51
de,51
social,51
health,51
April,51
Watch,50
state,50
death,49
some,49
developments,49
tests,47
crisis,46
first,46
dies,46
than,46
get,46
stay,46
distancing,46
fight,45
Governor,45
House,45
million,44
Day,44
now,44
our,44
May,43
Bill,43
masks,43
or,42
hospital,42
open,42
order,41
Yorkers,41
time,41
their,41
birthday,41
latest,40
California,40
tonight,39
&,39
U.S.,39
day,39
say,39
https://t.co/pXQMRQ7bGT,39
he,38
reopen,38
amp,37
care,37
3,37
public,37
face,37
businesses,37
Americans,37
aid,37
What,37
schools,36
dead,36
was,36
off,36
stimulus,36
@fox5ny,35
hospitals,35
need,35
emergency,35
old,35
White,35
medical,35
I,34
make,34
quarantine,34
through,33
NOW,33
Man,32
work,32
reports,32
into,32
Andrew,32
free,32
may,31
man,31
How,31
toll,30
they,30
patients,30
8,30
how,30
2,30
against,30
reported,30
closed,29
food,29
Island,29
while,29
economy,29
her,29
school,29
Stock,29
plan,29
until,28
Happy,28
woman,28
no,28
report,28
unemployment,28
M,28
"

",28
orders,27
spread,27
down,27
go,27
other,27
9,27
relief,27
Stocks,27
Brooklyn,27
March,27
pay,27
Do,27
futures,27
parks,27
if,27
warns,27
children,26
away,26
Phil,26
live,26
high,26
when,26
surge,26
nursing,26
mask,26
announces,25
working,25
police,25
going,25
today,25
keep,25
states,24
show,24
being,24
Good,24
Thank,24
employees,24
one,24
officials,24
family,24
residents,24
As,24
hit,24
Long,24
days,24
County,24
year,24
hours,24
number,23
claims,23
%,23
rise,23
take,23
service,23
city,23
holds,23
GDNY,23
Virus,23
No,22
money,22
National,22
Fauci,22
're,22
10,22
It,22
China,22
pm,22
State,22
Thoughts,22
In,22
according,21
battle,21
beaches,21
essential,21
remain,21
checks,21
died,21
CLICK,21
should,21
lockdown,21
call,21
top,21
morning,21
restaurants,21
n’t,21
stores,21
6,21
give,21
support,21
You,20
vaccine,20
subway,20
reopening,20
7,20
record,20
least,20
Connecticut,20
us,20
like,20
T,20
end,20
lost,20
This,19
Dr.,19
because,19
America,19
most,19
economic,19
travel,19
covid19,19
Florida,19
Biden,19
mayor,19
way,19
good,19
students,19
life,19
online,19
special,19
summer,19
years,18
bars,18
Joe,18
officers,18
so,18
Johns,18
NFL,18
virtual,18
paper,18
world,18
healthcare,18
BreakingNews,18
Bronx,18
Hopkins,18
think,17
CDC,17
without,17
11,17
season,17
another,17
Friday,17
MTA,17
15,17
long,17
weeks,17
Health,17
Manhattan,17
wear,17
De,17
possible,17
members,17
John,17
return,17
governor,17
been,17
under,17
updates,17
4,17
payments,17
must,17
shutdown,17
COVID,17
Today,17
very,17
toilet,17
next,16
risk,16
Obama,16
Great,16
"1,000",16
fire,16
jobs,16
Some,16
American,16
Latest,16
services,16
Rest,16
country,16
weekend,16
week,16
its,16
Monday,16
only,16
gdny,16
month,16
know,16
...,16
nurses,16
many,16
business,16
returns,16
Former,16
offering,16
@rosannascotto,16
front,16
study,16
news,16
stop,16
Mother,16
across,16
kids,16
staff,16
briefing,16
Live,15
Broadway,15
what,15
video,15
canceled,15
jobless,15
calls,15
watch,15
see,15
homes,15
self,15
Italy,15
continue,15
found,15
@mikewoodsfox5,15
jump,15
total,15
June,15
small,15
frontline,15
USNS,14
closures,14
would,14
Georgia,14
package,14
World,14
those,14
rules,14
 ,14
including,14
opening,14
symptoms,14
every,14
love,14
two,14
More,14
save,14
worldwide,14
impact,14
tips,14
For,14
Congress,14
together,14
lives,14
coming,14
takes,14
before,14
restrictions,14
https://t.co/PuO1QxDpL9,14
here,14
wo,14
tested,14
yet,13
had,13
past,13
concerns,13
lockdowns,13
offers,13
outside,13
All,13
24,13
K,13
air,13
star,13
data,13
shows,13
still,13
Thursday,13
killed,13
closure,13
grocery,13
Senate,13
doctor,13
"100,000",13
me,13
Here,13
drug,13
officer,13
nearly,13
die,13
link,13
line,13
Police,13
PM,13
government,13
come,13
bill,13
temporarily,13
50,13
benefits,12
ahead,12
around,12
),12
customers,12
donate,12
hold,12
store,12
Comfort,12
drive,12
worst,12
And,12
early,12
provide,12
making,12
️,12
showers,12
Amazon,12
region,12
millions,12
taking,12
ship,12
billion,12
worker,12
happy,12
global,12
COVID19,12
giving,12
condition,12
since,12
related,12
families,12
much,12
Join,12
MLB,12
Johnson,12
right,12
https://t.co/SLt8mxduwq,12
car,12
shops,12
miss,12
press,12
there,12
Pandemic,12
UK,12
last,12
safe,12
percent,12
night,12
Easter,12
30,12
national,12
allow,12
needs,11
Tuesday,11
helping,11
Anthony,11
Global,11
Tom,11
°,11
among,11
experts,11
Tonight,11
(,11
higher,11
100,11
There,11
program,11
demand,11
non,11
check,11
effect,11
looking,11
FDA,11
funeral,11
too,11
closes,11
perform,11
plans,11
Stay,11
bank,11
finds,11
confirmed,11
begin,11
Zoom,11
president,11
weather,11
passes,11
Washington,11
conference,11
supplies,11
gains,11
just,11
25,11
peace,11
seek,11
Doctor,11
Many,11
starting,11
use,11
restaurant,11
recovered,11
rain,11
Pence,11
MORE,11
reportedly,11
even,10
doctors,10
deal,10
benefit,10
ease,10
FDNY,10
area,10
G,10
Disney,10
Force,10
she,10
times,10
Street,10
couple,10
ventilators,10
parts,10
donating,10
To,10
Study,10
