word,count
the,4499
.,4250
",",3813
"
",3481
to,2848
of,2449
and,2230
a,2029
in,1640
coronavirus,1155
-,1132
for,987
on,825
are,804
that,694
is,694
The,650
’s,622
's,599
:,597
with,597
at,568
Seattle,568
has,546
have,533
from,532
pandemic,463
as,459
be,406
it,399
by,379
will,368
Washington,364
an,332
their,330
people,329
you,329
Here,328
"""",328
new,316
its,311
more,306
was,304
said,297
state,293
this,284
about,283
some,281
“,278
home,278
they,277
 ,276
COVID-19,274
”,262
who,261
how,256
been,252
—,249
"

",239
his,231
what,228
?,220
or,217
can,215
),202
A,199
(,197
our,196
after,195
than,188
out,187
many,176
he,171
but,169
workers,169
updates,168
not,164
health,164
via,164
we,163
during,156
Trump,155
your,154
officials,151
up,150
U.S.,147
But,146
Gov.,146
other,146
$,146
cases,145
one,144
Inslee,142
live,139
first,138
could,138
help,137
stay,134
week,133
County,130
area,129
President,127
all,125
NEW,123
two,120
now,120
time,120
into,119
n’t,119
do,117
were,117
Jay,116
them,113
most,112
world,109
order,107
Follow,106
outbreak,104
federal,103
died,102
RT,102
spread,101
when,100
according,100
deaths,99
would,99
including,98
As,98
know,97
while,97
if,97
had,96
get,96
#,95
need,95
so,94
novel,94
back,94
crisis,93
care,93
through,93
says,92
because,92
others,92
work,91
government,91
down,90
businesses,90
year,90
Amazon,89
Tuesday,89
Monday,89
like,88
say,87
King,86
which,85
over,85
announced,84
local,84
last,84
public,84
Donald,82
social,82
employees,82
here,81
New,81
Friday,81
around,80
Wednesday,79
virus,79
still,78
even,78
business,76
n't,76
It,76
amid,76
under,75
man,75
Health,75
her,75
years,74
',74
Department,74
In,74
old,73
look,73
company,72
may,72
month,71
Thursday,71
million,70
Times,70
there,69
just,69
off,69
country,69
confirmed,68
testing,67
next,67
masks,66
make,66
closed,66
weeks,66
no,65
city,65
before,65
day,65
Saturday,65
economy,64
Northwest,64
emergency,63
I,63
reopen,62
small,62
these,62
nation,61
life,61
food,61
those,61
where,61
take,61
